jmeno,typ,patro,sledujici,kanal,kontakt,hook_konkretni_duvod,navrh_1of1_slovo,stav,datum_osloveni,follow_up_1,follow_up_2,vysledek,poznamka
,tatér,1,,IG DM,,,,k oslovení,,,,,
,skate/BMX,1,,IG DM,,,,k oslovení,,,,,
,DJ / producent,1,,IG DM,,,,k oslovení,,,,,
,fotograf,1,,IG DM,,,,k oslovení,,,,,
,streamer,1,,IG DM,,,,k oslovení,,,,,
,rapper (regionální),2,,IG DM,,,,k oslovení,,,,,
,e-sport hráč,2,,IG DM,,,,k oslovení,,,,,
,youtuber,2,,e-mail,,,,k oslovení,,,,,
,velké jméno,3,,management,,,,čeká na patro 1-2,,,,,
,firma: gym / boxovna,firma,,e-mail,,,,k oslovení,,,,,
,firma: kavárna,firma,,e-mail,,,,k oslovení,,,,,
,firma: festival,firma,,e-mail,,,,k oslovení,,,,,
,firma: e-sport tým,firma,,e-mail,,,,k oslovení,,,,,
,firma: tetovací studio,firma,,e-mail,,,,k oslovení,,,,,
